POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Yuzvendra Chahal,161,160,589.8,4636,205,0,22.61,7.86,17.26,6,1
2,Piyush Chawla,192,191,641.6,5108,192,0,26.6,7.96,20.1,2,0
3,Dwayne Bravo,161,158,519.8,4360,183,0,23.8,8.38,17,2,0
4,Sunil Narine,178,176,683.1,4598,181,0,25.4,6.73,22.6,7,1
5,Bhuvneshwar Kumar,176,175,651.6,4929,181,0,27.23,7.56,21.6,2,2
6,Ravichandran Ashwin,213,180,758,4548,181,0,29.84,7.13,25.13,1,0
7,Amit Mishra,162,162,561.8,4145,174,0,23.8,7.37,19.4,4,1
8,Jasprit Bumrah,133,122,508.8,69,165,0,22.51,7.3,18.5,4,2
9,Ravindra Jadeja,241,212,641.1,4885,160,0,30.53,7.62,24.04,3,1
10,Rashid Khan,122,122,480.5,3300,150,0,22,6.87,19.22,2,0
11,Harbhajan Singh,163,157,569.3,4030,150,0,26.87,7.08,22.77,1,1
12,Sandeep Sharma,128,127,474.3,3760,138,0,27.2,7.92,20.6,2,1
13,Harshal Patel,107,104,364.1,3183,137,0,23.2,8.74,15.9,2,1
14,Mohit Sharma,113,112,379.5,3298,132,0,25,8.69,17.2,3,1
15,Mohammad Shami,111,111,407.3,3445,128,0,26.91,8.46,19.09,2,0
16,Axar Patel,151,149,519.5,3776,123,0,30.7,7.27,25.34,1,0
17,Trent Boult,105,103,392.5,3257,121,0,26.92,8.3,19.46,1,0
18,Umesh Yadav,119,118,413.2,3496,119,0,29.37,8.45,20.84,2,0
19,Kagiso Rabada,81,81,307,2611,118,0,22.13,8.5,15.61,6,0
20,Andre Russell,128,112,282.8,2646,115,0,23,9.35,14.8,2,1
21,Ashish Nehra,88,88,318,2495,106,0,23.53,7.84,18,1,0
22,Vinay Kumar,105,104,353.3,2966,105,0,28.24,8.39,20.2,1,0
23,ZaheerÂ Khan,100,99,366.4,2782,102,0,27.27,7.58,21.56,1,0
24,Jaydev Unadkat,105,104,355.1,3189,99,0,32.2,8.97,21.5,0,2
25,Dale Steyn,92,92,351,2375,96,0,24.73,6.76,21.93,0,0
26,Chris Morris,81,81,286.6,2295,95,0,24.1,8,18.1,4,0
27,Mohammed Siraj,94,94,330.3,2877,93,0,30.94,8.71,21.31,2,0
28,Ishant Sharma,110,108,385.8,3174,93,0,34.13,8.23,24.89,0,1
29,Shane Watson,145,105,338.1,2682,92,0,29.15,7.93,22.05,1,0
30,Praveen Kumar,119,119,420.4,3251,90,0,36.12,7.72,28.04,0,0
31,RP Singh,82,82,295.5,2338,90,0,25.97,7.9,19.72,2,0
32,Kuldeep Yadav,85,83,295,2410,89,0,27.08,8.17,19.89,4,0
33,Pragyan Ojha,92,90,316.3,2332,89,0,26.2,7.36,21.33,0,0
34,Dhawal Kulkarni,90,90,290.5,2404,86,0,27.95,8.26,20.29,1,0
35,Albie Morkel,91,87,287.1,2355,85,0,27.7,8.2,20.27,1,0
36,Irfan Pathan,103,101,340.3,2649,80,0,33.11,7.77,25.53,0,0
37,Krunal Pandya,128,118,357.6,2635,79,0,33.35,7.37,27.16,0,0
38,Imran Tahir,55,55,204.2,1611,79,0,20.39,7.88,15.51,3,0
39,Deepak Chahar,82,82,280.1,2239,78,0,28.7,7.99,21.6,2,0
40,Morne Morkel,70,70,271.3,2089,77,0,27.12,7.69,21.15,1,0
41,Karn Sharma,87,82,249.1,2087,76,0,27.5,8.37,19.7,2,0
42,Lakshmipathy Balaji,73,73,251.5,2028,76,0,26.68,8.05,19.88,3,1
43,Munaf Patel,63,63,225.5,1698,74,0,22.94,7.51,18.31,2,1
44,Rajat Bhatia,95,91,272.4,2020,71,0,28.45,7.4,23.04,1,0
45,Mitchell McClenaghan,56,56,212.2,1803,71,0,25.39,8.49,17.94,1,0
